name,rating,rating_count,about
TCS,3.3,(1.1L),IT Services & Consulting | Bengaluru +440 other locations
Accenture,3.7,(72.8k),IT Services & Consulting | Bengaluru +258 other locations
Wipro,3.6,(64.6k),IT Services & Consulting | Hyderabad +371 other locations
Cognizant,3.7,(60.9k),IT Services & Consulting | Hyderabad +234 other locations
Capgemini,3.7,(52.6k),IT Services & Consulting | Bengaluru +182 other locations
HDFC Bank,3.8,(51.7k),Banking | Mumbai +1840 other locations
Infosys,3.5,(48.3k),IT Services & Consulting | Bengaluru +248 other locations
ICICI Bank,4.0,(45.6k),Banking | Mumbai +1442 other locations
HCLTech,3.4,(45.5k),IT Services & Consulting | Chennai +234 other locations
Tech Mahindra,3.4,(43k),IT Services & Consulting | Hyderabad +330 other locations
Genpact,3.6,(41.7k),Analytics & KPO | Hyderabad +182 other locations
TP,3.8,(37.8k),BPO | Mumbai +257 other locations
Jio,4.4,(33.6k),Telecom | Mumbai +1961 other locations
Axis Bank,3.6,(32.8k),Banking | Mumbai +1515 other locations
Concentrix Corporation,3.6,(32k),BPO | Bengaluru +179 other locations
Amazon,3.9,(31.3k),Internet | Bengaluru +524 other locations
Reliance Retail,3.9,(27.3k),Retail | Mumbai +1157 other locations
iEnergizer,4.6,(27.2k),BPO | Noida +52 other locations
LTIMindtree,3.6,(26.2k),IT Services & Consulting | Bengaluru +145 other locations
IBM,3.9,(25.6k),IT Services & Consulting | Bengaluru +161 other locations
HDB Financial Services,3.9,(25.5k),NBFC | Mumbai +1096 other locations
Larsen & Toubro Limited,3.9,(23.7k),Engineering & Construction | Chennai +762 other locations
Deloitte,3.7,(22.9k),Management Consulting | Hyderabad +189 other locations
Kotak Mahindra Bank,3.6,(22.3k),Banking | Mumbai +690 other locations
Reliance Industries,4.0,(20.1k),Oil & Gas | Jamnagar +822 other locations
Vodafone Idea,3.9,(17.6k),Telecom | Pune +709 other locations
Bharti Airtel,3.8,(17k),Telecom | Gurugram +794 other locations
BYJU'S,3.2,(16.4k),EdTech | Bengaluru +322 other locations
WNS,3.3,(15.1k),IT Services & Consulting | Pune +66 other locations
IDFC FIRST Bank,3.9,(14.4k),Banking | Mumbai +721 other locations
Ernst & Young,3.4,(14.4k),Management Consulting | Bengaluru +132 other locations
Tata Motors,4.1,(14.2k),Automobile | Pune +508 other locations
IndusInd Bank,3.4,(14.1k),Banking | Mumbai +797 other locations
AU Small Finance Bank,3.9,(14.1k),Banking | Jaipur +795 other locations
Muthoot FinCorp,4.6,(13.1k),NBFC | Bengaluru +1120 other locations
Bajaj Finserv,4.0,(13k),NBFC | Pune +1183 other locations
Flipkart,3.9,(12.9k),Internet | Bengaluru +559 other locations
PwC,3.3,(12.4k),Management Consulting | Bengaluru +136 other locations
Mahindra & Mahindra,4.0,(12k),Automobile | Pune +567 other locations
Infosys BPM,3.5,(12k),BPO | Bengaluru +96 other locations
HDFC Life,3.9,(11.9k),Insurance | Mumbai +707 other locations
DXC Technology,3.6,(11.9k),IT Services & Consulting | Bengaluru +131 other locations
Bandhan Bank,3.7,(11k),Banking | Kolkata +1005 other locations
Digitide Solutions,3.5,(10.3k),IT Services & Consulting | Hyderabad +273 other locations
Mphasis,3.3,(10.2k),IT Services & Consulting | Bengaluru +64 other locations
Yes Bank,3.7,(10.1k),Banking | Mumbai +542 other locations
Tata Steel,4.0,(9.9k),Iron & Steel | Jamshedpur +231 other locations
Quess,3.8,(9.7k),Recruitment | Bengaluru +749 other locations
Asian Paints,3.9,(9.5k),Chemicals | Mumbai +554 other locations
Maruti Suzuki,4.2,(9.5k),Automobile | Gurugram +457 other locations
Startek,3.1,(9.4k),BPO | Bengaluru +104 other locations
UltraTech Cement,4.1,(9.4k),Building Material | Mumbai +542 other locations
Paytm,3.2,(9.3k),FinTech | Noida +420 other locations
Bajaj Finance,3.9,(9.1k),NBFC | Pune +986 other locations
Shriram Finance,4.0,(9.1k),NBFC | Chennai +1118 other locations
Sutherland Global Services,3.4,(8.9k),BPO | Chennai +83 other locations
Equitas Small Finance Bank,4.4,(8.8k),Banking | Chennai +484 other locations
Wells Fargo,3.6,(8.5k),Financial Services | Bengaluru +27 other locations
Cipla,4.1,(8.6k),Pharma | Mumbai +295 other locations
EXL Service,3.6,(8.5k),Analytics & KPO | Noida +61 other locations
Ericsson,3.9,(8.4k),Telecom | Noida +163 other locations
Samsung,3.9,(8.3k),Consumer Electronics & Appliances | Noida +585 other locations
Dr. Reddy's,4.0,(8.2k),Pharma | Hyderabad +215 other locations
Optum Global Solutions,4.0,(7.9k),IT Services & Consulting | Hyderabad +68 other locations
JSW Steel,3.9,(7.8k),Iron & Steel | Ballari +195 other locations
JPMorgan Chase & Co.,3.8,(7.8k),Financial Services | Bengaluru +55 other locations
Delhivery,3.8,(7.8k),Logistics | Gurugram +762 other locations
ICICI Prudential Life Insurance,3.9,(7.7k),Insurance | Mumbai +506 other locations
Hexaware Technologies,3.4,(7.6k),IT Services & Consulting | Chennai +69 other locations
Ujjivan Small Finance Bank,4.0,(7.6k),Banking | Bengaluru +539 other locations
Jana Small Finance Bank,3.8,(7.6k),Banking | Bengaluru +421 other locations
HGS,3.7,(7.6k),Emerging Technologies | Bengaluru +122 other locations
Sun Pharmaceutical Industries,4.1,(7.6k),Pharma | Vadodara +265 other locations
Amazon Development Centre India,3.8,(7.5k),Internet | Hyderabad +146 other locations
Zydus Lifesciences,4.0,(7.4k),Pharma | Ahmedabad +179 other locations
Ekart Logistics,3.9,(7.4k),Logistics | Bengaluru +741 other locations
Lupin,4.1,(7.3k),Pharma | Pune +205 other locations
L&T Construction,4.0,(7.3k),Engineering & Construction | Chennai +434 other locations
KPMG India,3.4,(7.2k),Management Consulting | Bengaluru +112 other locations
Hindustan Unilever,4.2,(7.2k),FMCG | Mumbai +543 other locations
Axis Max Life Insurance,4.0,(7.1k),Insurance | New Delhi +505 other locations
ITC,3.9,(7.1k),FMCG | Bengaluru +378 other locations
Megha Engineering & Infrastructures,3.9,(6.9k),Engineering & Construction | Hyderabad +405 other locations
Tata Projects,4.2,(6.8k),Engineering & Construction | Mumbai +287 other locations
