CGPA,Package_LPA
6.8,3.48
9.56,5.5
8.51,4.85
7.87,3.3
5.75,2.49
5.75,2.78
5.28,2.96
9.16,5.07
7.89,3.91
8.4,4.47
5.1,2.54
9.66,5.89
9.0,4.94
6.02,3.07
5.87,2.74
5.88,3.19
6.46,2.82
7.52,3.85
7.07,3.46
6.4,2.39
7.94,4.5
5.67,2.67
6.4,3.12
6.76,3.29
7.19,3.04
8.77,4.81
5.96,2.6
7.47,3.57
7.84,4.19
5.22,2.38
7.92,5.28
5.82,2.74
5.31,2.38
9.55,5.6
9.64,4.75
8.88,5.09
6.46,3.2
5.47,3.61
8.28,4.53
7.11,3.84
5.59,2.45
7.38,3.32
5.17,2.71
9.36,5.86
6.24,3.39
8.18,4.09
6.5,3.9
7.5,3.3
7.62,4.39
5.89,3.81
9.65,5.22
8.72,4.69
9.51,5.66
9.3,5.19
7.87,3.52
9.42,5.57
5.42,1.8
5.94,2.99
5.22,1.72
6.56,4.02
6.87,3.1
6.3,2.88
8.98,5.59
6.71,2.75
6.35,3.19
7.6,4.73
5.68,1.74
8.85,5.17
5.36,2.42
9.74,6.18
8.71,4.35
5.95,2.1
5.03,2.28
8.91,5.28
8.39,4.84
8.5,4.97
8.7,4.62
5.36,2.4
6.72,3.52
5.56,2.09
9.14,6.24
7.99,4.63
6.59,2.68
5.31,2.58
6.49,2.7
6.56,3.64
8.5,5.38
8.06,4.04
9.26,5.89
7.27,4.02
5.57,2.87
8.42,5.68
8.65,4.8
7.69,3.78
8.7,4.52
7.37,3.49
7.51,3.97
7.05,3.81
5.12,2.23
5.52,2.83
